x (fahrenheit), y (cents/F),,,,x(kelvin),y($/F),y(rho/F),y(pcm/F),y(pcm/K),bot_unc,top_unc,rel_unc,uncertainty_bot
690.8554572,-0.074700855,,,,639.1808096,-0.000747009,-5.75E-06,-0.575196581,-1.035353846,-0.461210259,-1.496564105,0.445461482,-0.041424501
838.3480826,-0.061025641,,,,721.121157,-0.000610256,-4.70E-06,-0.469897436,-0.845815385,-0.347487179,-1.193302564,0.410830999,-0.035954416
1010.619469,-0.109116809,,,,816.8274828,-0.001091168,-8.40E-06,-0.84019943,-1.512358974,-0.622317948,-2.134676922,0.41148825,-0.064216524
1156.932153,-0.094301994,,,,898.1123074,-0.00094302,-7.26E-06,-0.726125356,-1.307025641,-0.543343587,-1.850369228,0.415709968,-0.055099715
1299.705015,-0.127122507,,,,977.4305637,-0.001271225,-9.79E-06,-0.978843305,-1.761917949,-0.71076923,-2.472687179,0.403406544,-0.075840456
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
beta_eff,0.0077,,,,,,,,,,,,
dollar per cent,0.01,,,,,,,,,,,,
fahrenheit to kelvin,(T(F)-32)*5/9+273.15,,,,,,,,,,,,
1/k,pcm/F * 9/5,,,,,,,,,,,,
